title,description,priority,category
Environment config mismatch,Production environment configuration differs after release causing failures.,Medium,Deployment / Release
Mobile release rejected,New mobile app release rejected after submission causing deployment delay.,Medium,Deployment / Release
Config change broke service,Configuration changes in recent deployment broke service connectivity though it worked before.,High,Deployment / Release
Feature broken after update,Core feature that worked before the update is broken after the latest release affecting many users.,High,Deployment / Release
Production deployment failed,New production deployment failed immediately after release causing service outage and requiring rollback.,Critical,Deployment / Release
Partial rollout incomplete,Release rollout incomplete across regions causing inconsistent behavior.,Medium,Deployment / Release
Hotfix required urgently,Recent deployment introduced critical bug requiring immediate hotfix.,High,Deployment / Release
Environment config mismatch,Production environment configuration differs after release causing failures.,Medium,Deployment / Release
Cached assets outdated,Post-deployment cached assets not updated causing UI inconsistencies.,Low,Deployment / Release
Dependency upgrade regression,Upgraded dependency in latest release introduced regression in existing functionality.,High,Deployment / Release
Canary deployment issues,Canary deployment introduced regressions not present before the release.,Medium,Deployment / Release
Version mismatch detected,Service version mismatch after deployment causing requests to fail between components.,High,Deployment / Release
Version mismatch detected,Service version mismatch after deployment causing requests to fail between components.,High,Deployment / Release
Hotfix required urgently,Recent deployment introduced critical bug requiring immediate hotfix.,High,Deployment / Release
Canary deployment issues,Canary deployment introduced regressions not present before the release.,Medium,Deployment / Release
Database migration failed,Database migration during deployment failed causing application errors post-release.,Critical,Deployment / Release
Version mismatch detected,Service version mismatch after deployment causing requests to fail between components.,High,Deployment / Release
Rollback required after release,Latest release caused widespread errors in production and rollback is required to restore service.,Critical,Deployment / Release
Mobile release rejected,New mobile app release rejected after submission causing deployment delay.,Medium,Deployment / Release
Production deployment failed,New production deployment failed immediately after release causing service outage and requiring rollback.,Critical,Deployment / Release
Canary deployment issues,Canary deployment introduced regressions not present before the release.,Medium,Deployment / Release
Environment config mismatch,Production environment configuration differs after release causing failures.,Medium,Deployment / Release
Config change broke service,Configuration changes in recent deployment broke service connectivity though it worked before.,High,Deployment / Release
Hotfix required urgently,Recent deployment introduced critical bug requiring immediate hotfix.,High,Deployment / Release
Canary deployment issues,Canary deployment introduced regressions not present before the release.,Medium,Deployment / Release
Dependency upgrade regression,Upgraded dependency in latest release introduced regression in existing functionality.,High,Deployment / Release
Environment config mismatch,Production environment configuration differs after release causing failures.,Medium,Deployment / Release
Dependency upgrade regression,Upgraded dependency in latest release introduced regression in existing functionality.,High,Deployment / Release
Config change broke service,Configuration changes in recent deployment broke service connectivity though it worked before.,High,Deployment / Release
Mobile release rejected,New mobile app release rejected after submission causing deployment delay.,Medium,Deployment / Release
Version mismatch detected,Service version mismatch after deployment causing requests to fail between components.,High,Deployment / Release
Database migration failed,Database migration during deployment failed causing application errors post-release.,Critical,Deployment / Release
Config change broke service,Configuration changes in recent deployment broke service connectivity though it worked before.,High,Deployment / Release
